route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/100__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/15__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
ORANGE,BZ1MF,[@14.0.51617008@][4][1277756275375]/0__BZ1MF,WEST - COUNTRY FAIR,1,BZ1MF,ORANGE 23
ORANGE,BZ1MF,[@14.0.51617008@][4][1277755269031]/0__BZ1MF,WEST - COUNTRY FAIR,1,BZ1MF,ORANGE 32
ORANGE,BZ1MF,[@14.0.51617008@][3][1277754475578]/0__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,ORANGE 15
BRONZE,BZ1MF,[@15.0.63192037@][4][1337952855101]/8__BZ1MF,WEST - CAMPUS,1,BZ1MF,[@15.0.63192037@]4
BRONZE,BZ1MF,[@15.0.63192037@][3][1337951940615]/0__BZ1MF,EAST - YANKEE RIDGE,0,BZ1MF,[@15.0.63192037@]1
BRONZE,BZ1MF,[@15.0.63192037@][4][1337952881024]/9__BZ1MF,WEST - CAMPUS,1,BZ1MF,[@15.0.63192037@]4
BRONZE,BZ1MF,[@14.0.51709163@][3][1275598033265]/0__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,8E
BRONZE,BZ1MF,[@15.0.63192037@][4][1337952881024]/11__BZ1MF,WEST - CAMPUS,1,BZ1MF,[@15.0.63192037@]4
BRONZE,BZ1MF,[@7.0.41201636@][3][1243610996218]/0__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,8E
BRONZE,BZ1MF,[@7.0.41201636@][4][1243606549343]/4__BZ1MF,WEST - CAMPUS,1,BZ1MF,8W
BRONZE,BZ1MF,[@7.0.41201636@][3][1243611110703]/1__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,8E
BRONZE,BZ1MF,[@7.0.41201636@][4][1243606711390]/5__BZ1MF,WEST - CAMPUS,1,BZ1MF,8W
BRONZE,BZ1MF,[@7.0.41201636@][3][1243611110703]/2__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,8E
BRONZE,BZ1MF,[@7.0.41201636@][4][1243606711390]/6__BZ1MF,WEST - CAMPUS,1,BZ1MF,8W
BRONZE,BZ1MF,[@7.0.41201636@][3][1243611110703]/3__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,8E
BRONZE,BZ1MF,[@7.0.41201636@][4][1243606711390]/7__BZ1MF,WEST - CAMPUS,1,BZ1MF,8W
BRONZE,BZ1MF,[@7.0.41201636@][3][1243611110703]/4__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,8E
BRONZE,BZ1MF,[@7.0.41201636@][4][1243606734437]/8__BZ1MF,WEST - CAMPUS,1,BZ1MF,8W
BRONZE,BZ1MF,[@15.0.63192037@][4][1337953092215]/14__BZ1MF,WEST - CAMPUS,1,BZ1MF,[@15.0.63192037@]4
BRONZE,BZ1MF,[@15.0.63192037@][3][1337951976131]/1__BZ1MF,EAST - YANKEE RIDGE,0,BZ1MF,[@15.0.63192037@]1
BRONZE,BZ1MF,[@15.0.63192037@][4][1337953127575]/15__BZ1MF,WEST - ORCHARD DOWNS,1,BZ1MF,[@15.0.63192037@]4
BRONZE,BZ1MF,[@15.0.63192037@][3][1337951997335]/3__BZ1MF,EAST - YANKEE RIDGE,0,BZ1MF,[@15.0.63192037@]1
BRONZE,BZ1MF,[@15.0.63192037@][3][1337952138353]/5__BZ1MF,EAST - YANKEE RIDGE,0,BZ1MF,[@15.0.63192037@]1
BRONZE,BZ1MF,[@7.0.41201636@][4][1243606759125]/10__BZ1MF,WEST - CAMPUS,1,BZ1MF,8W
BRONZE,BZ1MF,[@14.0.51709163@][3][1277738315250]/1__BZ1MF,EAST - LINCOLN SQUARE,0,BZ1MF,8E
AIR BUS WEEKEND,AB1SU,[@12.0.44211359@][1251129609968]/26__AB1SU,SOUTH - AIRPORT,1,AB1SU,AIR BUS WEEKEND 510
